VBA Project,GUID,Friendly name
DMC_O365SecComp,96af09c3-95c5-4472-b452-0aef8116bd79,updated-product-servicing-policy-for-sharepoint-server-2016
DMC_O365SecComp,7d9dc754-1171-4d28-9dd1-0b0eb181a07c,default-link-permissions
DMC_O365SecComp,39342f16-4d16-44de-a806-0b2b566f3886,make-and-receive-a-lync-audio-call
DMC_O365SecComp,b820db0d-9e3e-4ff9-8b8b-0b2dbefa87e2,show-or-hide-columns-in-a-list-or-library
DMC_O365SecComp,cb9ade1e-a3a1-4d99-a100-0b451f8272ea,configure-saml-based-claims-authentication-with-ad-fs
DMC_O365SecComp,485a786b-ed11-45ba-a27d-0b4e8e281c30,v-dahint
DMC_O365SecComp,75533195-f1f6-4c2c-8ceb-0b5597790d7b,extend-your-trial
DMC_O365SecComp,9295e396-e53d-49b9-ae9b-0b5828cdedc3,security-best-practices
DMC_O365SecComp,7ad6f58e-65d7-4c82-8e65-0b773666634d,azure-ip-protection-features
DMC_O365SecComp,de914cf8-cb51-4fef-89df-0b7de738857f,v-dahint__dxstudiotipsandtricks
DMC_O365SecComp,f3625c2f-a588-422c-9fbe-0b83205fbc88,web-config-file-has-incorrect-settings-for-the-requestfiltering-element
DMC_O365SecComp,9f7c2ff2-af65-4557-8840-0b84ce96d9bc,language-translation-for-message-center-posts
DMC_O365SecComp,924bd581-9d98-4995-a6c3-0b8f094a3c25,o365-video
DMC_O365SecComp,ab05385b-3a2a-4c04-a330-0b96d2261234,use-your-custom-domain-to-rename-your-public-website-when-you-have-other-office
DMC_O365SecComp,58277b71-70d7-4093-9f21-0b9973ed4347,use-the-connection-formula-dialog-box-in-dashboard-designer-to-configure-a-filte
DMC_O365SecComp,cccaa235-c611-48e3-9653-0b9e161840e7,add-a-site-mailbox-to-keep-email-in-context
DMC_O365SecComp,0830f8f5-4432-4a75-9974-0bb77268f2f1,configure-recommendations-and-usage-event-types
DMC_O365SecComp,45e8f120-3d0c-4b5f-bf5f-0bc4e3c679d7,plan-a-business-connectivity-services-solution
DMC_O365SecComp,4fb4bd7e-3920-4ce0-98fb-0c06e3fedf53,add-licenses-using-a-product-key
DMC_O365SecComp,e7fc992d-3c51-4b65-bbf4-0c12100aa36e,use-best-practice-configurations-for-the-sharepoint-2013-virtual-machines-and-hy
DMC_O365SecComp,a45405b8-2c00-44a9-b29c-0c28d80bb4ef,create-dns-records-at-domainexplorer-com
DMC_O365SecComp,65552a5e-228b-4789-8982-0c29871c85b0,governance
DMC_O365SecComp,56189031-ce0e-4899-8ace-0c4936505b1a,freemium-node
DMC_O365SecComp,339402ce-16bb-4c97-9475-0c5375ccef7a,sharepoint-mobile-app-for-ios
DMC_O365SecComp,889de91a-980f-4102-b6dd-0c59fbcc402e,partner-relationships
DMC_O365SecComp,08cc3107-38fb-44d1-b8aa-0c700ee58af5,run-site-collection-health-checks-in-sharepoint-2013
DMC_O365SecComp,0d4d0f35-390b-4518-800e-0c7ec95e946c,search-the-audit-log-in-security-and-compliance
DMC_O365SecComp,c654bd23-d256-4ac7-8fba-0c993bf5a771,install-windows-for-microsoft-365-business-users
DMC_O365SecComp,cb5bf69a-ee24-4bff-a568-0cbbd52ab8a7,set-up-outlook
DMC_O365SecComp,3ab3810c-3c2c-4361-9d0e-0cbe666ea0b0,features-enabled-in-a-sharepoint-online-publishing-site
DMC_O365SecComp,a0f2c651-e353-4197-b0dd-0cbe6f18c811,plan-authentication
DMC_O365SecComp,e8eb4d14-cb99-4f43-b845-0cc0963fab47,visio-services-in-sharepoint-server
DMC_O365SecComp,382f6607-5434-4e03-8b9a-0ce04ead9ace,migration-assessment-scan-bcs
DMC_O365SecComp,0e24bb6a-8977-467f-bf69-0cfef1c8e288,distributed-cache-service-is-not-configured-on-server-s
DMC_O365SecComp,626fc816-cd0e-44e1-8ea7-0d0b536b379b,manage-the-index
DMC_O365SecComp,758befc4-0888-4009-9f14-0d147402fd23,about-the-admin-center
DMC_O365SecComp,da78ee2b-ffe7-44af-b6e9-0d1d5ea99adb,welcome-to-office-365
DMC_O365SecComp,c6183e49-9287-4689-999e-0d3f817a41a3,plan-your-permissions-strategy
DMC_O365SecComp,3c596f11-f53b-418c-bf61-0d5515780225,mysites
DMC_O365SecComp,2b2c3b2a-49f3-4c96-9efd-0d557f0332db,plan-enterprise-search-architecture
DMC_O365SecComp,59c0540e-1238-4138-b98d-0d74ca59b9db,back-up-a-search-service-application
DMC_O365SecComp,a507f23b-f070-40a2-856a-0d834ac1168d,change-nameservers-at-asia-registry
DMC_O365SecComp,110d552f-4377-4342-91ad-0d84fea08560,restore-a-deleted-site-collection-old
