Error Type,Topic Guid,Message
Warning,6057daa8-6372-4e77-a636-7ea599a76128,Found invalid tables saving file:6057daa8-6372-4e77-a636-7ea599a76128.md
Warning,61852fd9-fe8a-4880-a339-cb19ed3bff4a,Missing tables headers in file:61852fd9-fe8a-4880-a339-cb19ed3bff4a.md
Warning,61852fd9-fe8a-4880-a339-cb19ed3bff4a,Fixing missing end table tag in file:61852fd9-fe8a-4880-a339-cb19ed3bff4a.md
Warning,61852fd9-fe8a-4880-a339-cb19ed3bff4a,Found invalid tables saving file:61852fd9-fe8a-4880-a339-cb19ed3bff4a.md
Warning,61852fd9-fe8a-4880-a339-cb19ed3bff4a,Could not Add new line after images in md file:61852fd9-fe8a-4880-a339-cb19ed3bff4a.md
Warning,67cc7f42-a53d-4751-b929-6005c80798f7,Found a an dl list inside a table in html file:67cc7f42-a53d-4751-b929-6005c80798f7.xml
Error,67cc7f42-a53d-4751-b929-6005c80798f7,Checking for list in tables in file:67cc7f42-a53d-4751-b929-6005c80798f7.xml message:System.Collections.ArrayList
Warning,6a601501-a6a8-4559-b2e7-56b59c96a586,Found herf tag with an image in file:6a601501-a6a8-4559-b2e7-56b59c96a586.md total found:3
Warning,74aaade0-efc0-46ac-b949-f2d1d59256fa,Found herf tag with an image in file:74aaade0-efc0-46ac-b949-f2d1d59256fa.md total found:3
Warning,74aaade0-efc0-46ac-b949-f2d1d59256fa,Could not Add new line after images in md file:74aaade0-efc0-46ac-b949-f2d1d59256fa.md
Warning,78fe3147-1979-4c41-83bb-aeccf244368d,Found nested table in md file:78fe3147-1979-4c41-83bb-aeccf244368d.md
Warning,78fe3147-1979-4c41-83bb-aeccf244368d,Fixing missing end table tag in file:78fe3147-1979-4c41-83bb-aeccf244368d.md
Warning,78fe3147-1979-4c41-83bb-aeccf244368d,Found invalid tables saving file:78fe3147-1979-4c41-83bb-aeccf244368d.md
Warning,7a150c84-049c-4a9c-8c91-22355b35f2a7,Found a an ul list inside a table in html file:7a150c84-049c-4a9c-8c91-22355b35f2a7.xml
Warning,7a150c84-049c-4a9c-8c91-22355b35f2a7,Found nested table in md file:7a150c84-049c-4a9c-8c91-22355b35f2a7.md
Warning,7a150c84-049c-4a9c-8c91-22355b35f2a7,Fixing missing end table tag in file:7a150c84-049c-4a9c-8c91-22355b35f2a7.md
Warning,7a150c84-049c-4a9c-8c91-22355b35f2a7,Fixing missing end table tag in file:7a150c84-049c-4a9c-8c91-22355b35f2a7.md
Warning,7a150c84-049c-4a9c-8c91-22355b35f2a7,Found invalid tables saving file:7a150c84-049c-4a9c-8c91-22355b35f2a7.md
Warning,7a29260d-2959-42aa-8916-feceff6ee51d,Missing tables headers in file:7a29260d-2959-42aa-8916-feceff6ee51d.md
Warning,7acd33ce-1ec8-49fb-b625-43bac7b58c5a,Found a an ul list inside a table in html file:7acd33ce-1ec8-49fb-b625-43bac7b58c5a.xml
Warning,82ac9922-939c-41be-9c8a-7c75b0a4e27d,Found nested table in md file:82ac9922-939c-41be-9c8a-7c75b0a4e27d.md
Warning,82ac9922-939c-41be-9c8a-7c75b0a4e27d,Fixing missing end table tag in file:82ac9922-939c-41be-9c8a-7c75b0a4e27d.md
Warning,82ac9922-939c-41be-9c8a-7c75b0a4e27d,Fixing missing end table tag in file:82ac9922-939c-41be-9c8a-7c75b0a4e27d.md
Warning,82ac9922-939c-41be-9c8a-7c75b0a4e27d,Fixing missing end table tag in file:82ac9922-939c-41be-9c8a-7c75b0a4e27d.md
Warning,82ac9922-939c-41be-9c8a-7c75b0a4e27d,Fixing missing end table tag in file:82ac9922-939c-41be-9c8a-7c75b0a4e27d.md
Warning,82ac9922-939c-41be-9c8a-7c75b0a4e27d,Fixing missing end table tag in file:82ac9922-939c-41be-9c8a-7c75b0a4e27d.md
Warning,82ac9922-939c-41be-9c8a-7c75b0a4e27d,Found invalid tables saving file:82ac9922-939c-41be-9c8a-7c75b0a4e27d.md
Warning,82c97bb4-2b64-4edc-804d-cedbda525d22,Could not Add new line after images in md file:82c97bb4-2b64-4edc-804d-cedbda525d22.md
